a,ave,std,class
0.523894209,0.626179631,0.283365321,1
0.525010961,0.679860869,0.308624961,1
0.240379701,0.744636922,0.336082829,1
0.183410371,0.873145683,0.363289475,1
0.367206149,0.950728105,0.281296748,1
0.791574908,0.976595752,0.234438471,1
0.792054277,1.017673405,0.234408437,1
0.874772138,0.986330921,0.279161968,1
1.001544843,0.952574408,0.309384219,1
0.961948755,1.021568195,0.381204918,1
1.06070658,1.112303426,0.456720879,1
1.172771491,1.166650139,0.479132351,1
1.525467318,1.196414548,0.487755561,1
0.959234586,1.191159163,0.484453776,1
0.625882618,1.208500456,0.478913564,1
1.202351442,1.187073626,0.508387144,1
0.478629439,1.093259907,0.578619112,1
0.537207012,1.151611563,0.54195471,1
1.691482709,1.219209334,0.501772139,1
1.869301063,1.160665433,0.476785405,1
1.604173708,1.051965048,0.423802258,1
1.470415589,0.928150529,0.425247893,1
1.472913469,0.814636583,0.416767587,1
1.132647509,0.725762216,0.357456593,1
0.411614325,0.806624886,0.502421955,1
0.264214244,0.882563118,0.494302083,1
1.062146005,0.995685063,0.468621451,1
1.213184722,1.237176701,0.881231802,1
1.106043693,1.186128875,0.895807954,1
0.782297221,1.161621859,0.90100085,1
0.366028519,1.211183975,0.892361977,1
0.335276123,1.227100438,0.878456676,1
0.584169803,1.342203119,0.828022365,1
1.941274207,1.333848174,0.836011924,1
1.170996642,1.225927781,0.820140187,1
1.395433698,1.26851826,0.827209997,1
3.477062384,1.399471398,0.933731678,1
0.702706465,1.314350575,0.763788144,1
0.86097353,1.479477663,0.79169243,1
1.277918383,1.64217633,0.814711614,1
0.525193145,1.767927609,0.845259526,1
1.486302935,1.944852938,0.745952014,1
0.500620351,2.01622702,0.732690639,1
0.862070282,2.154194718,0.538462457,1
1.596901427,2.232215022,0.378288838,1
2.704965078,2.259787099,0.338984644,1
2.625854154,2.164631151,0.334185298,1
2.353977343,2.058756409,0.33897084,1
2.487960201,2.052475881,0.333987947,1
2.535431178,2.381114259,1.170388963,1
2.294446432,3.438211752,3.428288548,1
2.200043751,4.588282098,4.58544408,1
1.880297335,4.898177569,4.517787704,1
1.642273323,4.838483737,4.561005766,1
1.872622198,4.787323307,4.599279193,1
1.753405599,4.702295201,4.659839068,1
1.56710673,4.631547154,4.709182952,1
2.29117206,4.61981699,4.7169413,1
5.774343987,4.549720517,4.756071536,1
13.10640611,4.098295548,4.832041572,1
13.79514989,2.931011363,3.818579197,1
5.298998466,1.737571199,1.211958494,1
1.283359013,1.406272195,0.3112556,1
1.130669026,1.474816187,0.349735096,1
1.022341136,1.520747772,0.331191158,1
1.045925128,1.524284178,0.325998469,1
1.449805089,1.49822794,0.370558801,1
1.590207328,1.406807149,0.470518209,1
1.260094304,1.287317447,0.553225649,1
1.433564255,1.223184953,0.588699572,1
1.860748246,1.164408423,0.594077924,1
1.98600843,1.058829549,0.553365267,1
1.968798932,0.928181788,0.466438598,1
1.589984874,0.794190926,0.316671043,1
1.057705197,0.721275002,0.179106212,1
0.785362742,0.756344723,0.258350594,1
0.53559718,0.91154478,0.540865736,1
0.39531031,1.203514434,0.916636065,1
0.618769368,1.592746079,1.254821061,1
0.845798954,2.025447127,1.554595182,1
0.804959505,2.459048487,1.756662554,1
0.679530821,2.90543502,1.844582789,1
0.62889031,3.403499786,1.848732907,1
0.86082563,3.960895665,1.766610619,1
1.408402408,4.557352925,1.62007589,1
2.337363311,5.081816779,1.340591454,1
3.455293726,5.433531827,0.989942198,1
4.287626758,5.620318407,0.744964385,1
4.945779846,5.710085189,0.623082443,1
5.181812556,5.734516068,0.59687372,1
5.268824826,5.726684359,0.604539068,1
5.660178485,5.679146417,0.655238574,1
6.202849104,5.575873217,0.727491258,1
6.82539823,5.400052269,0.766152461,1
6.653040942,5.137292099,0.677737015,1
5.854513797,4.89454439,0.503762241,1
