seconds_elapsed,z,y,x,a,ave,std
0.032625977,-0.036969548,0.025398645,-0.12982991,0.132290955,0.112250004,0.029648222
0.042609131,-0.026800329,0.038952539,-0.101904962,0.109095928,0.107535893,0.029834076
0.052592041,-0.032592941,0.093583124,-0.107404728,0.142455525,0.107943971,0.029880496
0.062575195,-0.056391165,0.120025725,-0.120707862,0.170225035,0.102767769,0.027869412
0.072558105,-0.050253685,0.102054015,-0.086232761,0.13360805,0.091584876,0.019836413
0.082541016,-0.006776362,0.058192661,-0.065945175,0.087949713,0.090917858,0.018477746
0.092523193,-0.00040069,0.032186113,-0.099497901,0.104574271,0.099030497,0.029759072
0.102506104,-0.01977759,0.028240591,-0.080091189,0.084924258,0.100238137,0.030201286
0.112489258,-0.0529495,0.006842413,-0.078276833,0.078575322,0.101954545,0.029766801
0.122472168,-0.089383334,-0.016598668,-0.077032971,0.07880098,0.105330712,0.028823335
0.132454834,-0.141363112,-0.063301383,-0.056951137,0.08514985,0.109739647,0.02778124
0.142438232,-0.087973467,-0.111416886,-0.019880759,0.113176708,0.115235128,0.027808893
0.152421143,0.03222323,-0.087815062,-0.022667759,0.090693508,0.119087614,0.029850449
0.162404053,0.046304655,0.010334932,-0.057474284,0.058396097,0.128949065,0.034731385
0.172386963,-0.038206104,0.112525724,-0.058746788,0.126937874,0.152046479,0.052426154
0.182370117,-0.039684945,0.136852941,-0.099287473,0.169076106,0.180919664,0.093816405
0.192353027,0.000605857,0.074120883,-0.090074823,0.116650671,0.222840794,0.153704124
0.202336182,-0.002905074,0.013591303,-0.10117957,0.102088339,0.284370828,0.211259792
0.212319092,-0.026406361,-0.017628596,-0.110945177,0.112336992,0.362485503,0.266589473
0.222302246,-0.076048928,-0.064866148,-0.10437632,0.122890331,0.446318057,0.303940527
0.232285156,-0.118312491,-0.123778355,-0.065637132,0.140104655,0.51449867,0.300190284
0.242268066,-0.070108432,-0.139731127,-0.059064183,0.151701567,0.571763894,0.277035097
0.25225,-0.046584933,-0.143490187,-0.123483172,0.189308023,0.625581756,0.240004152
0.262233154,-0.107101946,-0.251050983,-0.143904613,0.289370236,0.661583333,0.194560864
0.272216309,-0.088538115,-0.386605116,-0.152701668,0.415669719,0.680376026,0.16444648
0.282198975,-0.05757336,-0.547849571,-0.214343008,0.58828741,0.685805933,0.156311671
0.292182129,-0.163802615,-0.683221333,-0.262604058,0.73195101,0.660082551,0.188163713
0.302165283,-0.253701205,-0.791586431,-0.391784564,0.883235089,0.599580693,0.244240671
0.312148193,-0.190856626,-0.816914934,-0.486219336,0.950662533,0.567973922,0.225196798
0.322130859,-0.165289639,-0.627788784,-0.503406033,0.80469646,0.525297089,0.185584295
0.332114258,-0.154062434,-0.508040708,-0.499917022,0.712756894,0.497328539,0.160788365
0.342097168,-0.148729549,-0.555536034,-0.40904082,0.68988019,0.45009082,0.159946332
0.352079834,-0.230631587,-0.482379612,-0.262805133,0.549323792,0.399443838,0.156139887
0.362062988,-0.282299815,-0.462960626,-0.116103583,0.477297164,0.381232074,0.148005144
0.372046143,-0.356911988,-0.466090741,-0.060250178,0.469968789,0.412659848,0.191919493
0.382029053,-0.41319677,-0.323451033,0.070540102,0.331053586,0.444868397,0.223296402
0.392011963,-0.443226582,0.073113167,0.103760819,0.126932434,0.499240252,0.253162647
0.401993896,-0.58798752,0.555059648,0.11656594,0.567167375,0.586701493,0.260406483
0.411977295,-0.628790655,0.509445898,0.122188456,0.523894209,0.626179631,0.283365321
0.421959961,-0.577663694,0.524830514,-0.013763737,0.525010961,0.679860869,0.308624961
0.431943115,-0.410901061,0.21904081,0.099012747,0.240379701,0.744636922,0.336082829
0.441926025,-0.159229608,-0.149200381,0.106670569,0.183410371,0.873145683,0.363289475
0.45190918,-0.074864102,-0.285263049,-0.231225754,0.367206149,0.950728105,0.281296748
0.46189209,-0.07341858,-0.651353784,-0.449810052,0.791574908,0.976595752,0.234438471
0.471875,-0.117277887,-0.696589934,-0.37697804,0.792054277,1.017673405,0.234408437
0.481858154,-0.044622109,-0.79661858,-0.36142099,0.874772138,0.986330921,0.279161968
0.491841309,0.150263919,-0.905493381,-0.427988097,1.001544843,0.952574408,0.309384219
0.501823975,-0.012991291,-0.871436213,-0.407362657,0.961948755,1.021568195,0.381204918
0.511806885,-0.089959088,-0.967898107,-0.433902874,1.06070658,1.112303426,0.456720879
0.521790283,0.028062896,-1.017729182,-0.582769493,1.172771491,1.166650139,0.479132351
0.531773193,0.021376112,-1.459814193,-0.442711034,1.525467318,1.196414548,0.487755561
0.541756104,-0.493861376,-0.946063876,-0.158411277,0.959234586,1.191159163,0.484453776
0.551739258,-0.504598604,0.177414084,-0.600211042,0.625882618,1.208500456,0.478913564
0.561722168,-0.600281477,0.116884504,-1.196656593,1.202351442,1.187073626,0.508387144
