time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,0.018278809,-0.097775168,-0.033927989,-0.027161563,0.106999264,0.118742309,0.04305133
1.64617E+18,0.02826001,-0.119329413,-0.043570846,-0.047043491,0.135465927,0.121269801,0.043029642
1.64617E+18,0.038240967,-0.070369129,-0.034096331,-0.054229603,0.09515894,0.128100973,0.049653667
1.64617E+18,0.048221924,-0.03772592,-0.016605682,-0.050077744,0.064859649,0.13741281,0.051306702
1.64617E+18,0.058203125,-0.046803691,0.004728782,-0.050183542,0.068784699,0.153252594,0.050911824
1.64617E+18,0.068183838,-0.125175363,0.042096682,-0.038958968,0.13769097,0.17182637,0.050587593
1.64617E+18,0.078164551,-0.209976922,0.038601826,-0.063147653,0.222638799,0.184477868,0.055999289
1.64617E+18,0.088145752,-0.13476839,0.044156537,-0.016104163,0.142729334,0.181951279,0.054777178
1.64617E+18,0.098126709,-0.098254038,0.002315876,0.003164602,0.098332263,0.182036366,0.054716815
1.64617E+18,0.108107666,-0.104789285,-0.046795069,0.00017068,0.114763243,0.191909445,0.047099836
1.64617E+18,0.118088867,-0.117442576,-0.054970777,-0.026113515,0.132274188,0.20411724,0.040940163
1.64617E+18,0.128069824,-0.174471455,-0.090510292,-0.053785951,0.203777648,0.212467709,0.03322384
1.64617E+18,0.138050781,-0.154590842,-0.065031567,-0.085562314,0.188277303,0.206090653,0.039757505
1.64617E+18,0.148031982,-0.161332572,-0.068107322,-0.138481419,0.223257496,0.210483371,0.039972802
1.64617E+18,0.158012939,-0.231317524,-0.021092472,-0.104062432,0.254522453,0.218393473,0.048611126
1.64617E+18,0.167993896,-0.240234405,0.010578093,-0.109454646,0.264205952,0.230628653,0.067782206
1.64617E+18,0.177975098,-0.160272395,0.054779053,-0.101331546,0.197372915,0.252691087,0.102258399
1.64617E+18,0.187955811,-0.092626261,0.002054594,-0.109687871,0.143580203,0.291971251,0.14141198
1.64617E+18,0.197936768,-0.159927381,-0.034735213,-0.109774964,0.197063048,0.326021566,0.142571526
1.64617E+18,0.207917969,-0.174612178,-0.035237318,-0.156085465,0.236841199,0.354754359,0.142639839
1.64617E+18,0.217898682,-0.16541385,-0.045815995,-0.13076573,0.215778876,0.372588648,0.137850955
1.64617E+18,0.227879639,-0.014409634,-0.01404723,-0.138553315,0.140007083,0.386897615,0.127898525
1.64617E+18,0.23786084,0.040445115,-0.040229135,-0.225088274,0.232204482,0.400781649,0.10600593
1.64617E+18,0.247841797,-0.038467386,-0.203059982,-0.22069793,0.302358516,0.424419279,0.091084388
1.64617E+18,0.257822998,-0.087538875,-0.267578339,-0.250545371,0.376874256,0.445010221,0.084175743
1.64617E+18,0.267803955,-0.297717895,-0.068024904,-0.376559523,0.484830287,0.466988104,0.09185768
1.64617E+18,0.277784668,-0.316323665,0.14714228,-0.476019429,0.590174558,0.459776079,0.092997831
1.64617E+18,0.287765869,-0.149459617,0.393063498,-0.239790753,0.484083356,0.460893237,0.094610678
1.64617E+18,0.297746826,-0.093685707,0.452170352,-0.146285955,0.484390978,0.479333732,0.113432455
1.64617E+18,0.307727783,-0.064041095,0.409723541,-0.020079496,0.41518409,0.531243758,0.19402016
1.64617E+18,0.317708984,0.176882315,0.301970438,-0.07945523,0.358868545,0.602760142,0.25898808
1.64617E+18,0.327689941,0.278252001,0.018123101,-0.001806757,0.278847426,0.676888273,0.283498125
1.64617E+18,0.337670898,0.287889452,-0.334178763,-0.158152334,0.468580775,0.732634697,0.252906017
1.64617E+18,0.3476521,0.167005064,-0.470953378,-0.092997433,0.50826794,0.752643117,0.238742291
1.64617E+18,0.357632813,0.06735095,-0.521568298,-0.281824891,0.596653089,0.747644369,0.244266061
1.64617E+18,0.367613525,0.020415304,-0.338655032,-0.235001181,0.412710031,0.730954105,0.259255012
1.64617E+18,0.377594482,-0.14636545,-0.431323379,-0.392625107,0.601346137,0.760763332,0.237143948
1.64617E+18,0.387575439,-0.200255738,-0.519868508,-0.369473948,0.668488313,0.734399495,0.266267566
1.64617E+18,0.397556641,-0.120345312,-0.802899852,-0.589799538,1.003491236,0.691421273,0.305267187
1.64617E+18,0.407537598,-0.215150817,-1.032129464,-0.407560226,1.130347929,0.605848119,0.325089705
1.64617E+18,0.417518555,-0.172155725,-1.04472591,-0.298730433,1.10014985,0.55146512,0.274323105
1.64617E+18,0.427499756,-0.132772101,-0.672630966,-0.478911644,0.83631167,0.5162402,0.218553356
1.64617E+18,0.437480713,-0.05246537,-0.33843759,-0.574299771,0.668664971,0.511448271,0.211907322
1.64617E+18,0.44746167,-0.091934626,0.085534842,-0.440741195,0.458280466,0.502536641,0.206923545
1.64617E+18,0.457442871,-0.279051919,0.320754633,0.06270517,0.429750447,0.521044957,0.210385737
1.64617E+18,0.467423584,-0.334976489,0.255615514,0.572443329,0.710802297,0.541355898,0.210395847
1.64617E+18,0.477404541,-0.252007845,0.125859838,0.186273682,0.337707769,0.541899271,0.210839311
1.64617E+18,0.487385742,-0.17051541,0.166315182,0.015631869,0.238706096,0.578115606,0.20363616
1.64617E+18,0.497366699,-0.138710405,-0.000185878,0.050914779,0.14775969,0.616173655,0.169318913
1.64617E+18,0.5073479,-0.336846229,0.143972418,0.458050057,0.58651794,0.684412708,0.081546051
1.64617E+18,0.517328613,-0.566982872,0.308790055,0.377537428,0.747900652,0.689751356,0.076557282
1.64617E+18,0.52730957,-0.561495088,0.393811686,0.388842081,0.788392379,0.702320062,0.093511987
1.64617E+18,0.537290771,-0.517610354,0.239926362,-0.101938864,0.579548677,0.735007538,0.154879646
1.64617E+18,0.547271729,-0.633206718,0.090087683,-0.069643445,0.64336362,0.814546915,0.237057198
1.64617E+18,0.557252441,-0.541853984,-0.274621243,0.177451493,0.632859858,0.922845751,0.353094822
1.64617E+18,0.567233643,-0.350495546,-0.513163457,-0.356104179,0.716236028,0.968470905,0.341978864
1.64617E+18,0.5772146,-0.061837155,-0.590526683,-0.370505045,0.699871121,0.919442918,0.404124203
1.64617E+18,0.587195557,-0.096270755,-0.553240616,-0.261098914,0.61928659,0.921020801,0.403293766
1.64617E+18,0.597176758,-0.304545403,-0.754502609,-0.164703655,0.830150217,0.927163465,0.399097167
1.64617E+18,0.607157715,-0.188733789,-0.561862899,-0.241178992,0.63990442,0.935468528,0.397854135
1.64617E+18,0.617138672,-0.192584765,-0.67462477,-0.52052668,0.873587715,0.987708384,0.389831352
1.64617E+18,0.627119873,-0.358644073,-0.688631083,-0.800613787,1.115267132,1.070791503,0.441736033
1.64617E+18,0.63710083,-0.442668802,-0.564988337,-1.172731528,1.374942445,1.112187866,0.462856254
1.64617E+18,0.647081543,-0.750285137,-0.782528095,-1.343507781,1.726351982,1.059901873,0.459742938
1.64617E+18,0.657061768,-0.542146391,-0.297706935,-0.896443813,1.089111398,0.942214024,0.423262659
1.64617E+18,0.667042725,-0.045806789,-0.184079972,-0.122770055,0.225956156,0.916631103,0.421337778
1.64617E+18,0.677024414,0.05356807,-0.703071112,-0.122377841,0.715649958,1.145340121,0.57651425
1.64617E+18,0.687004883,-0.134528297,-0.550029837,-0.377809231,0.680713229,1.289835234,0.629366317
1.64617E+18,0.696986572,-0.107969376,-0.510945781,-0.749141374,0.913200841,1.319368108,0.606608135
1.64617E+18,0.706966797,-0.115967389,-0.270977334,-1.12430915,1.162302979,1.303177561,0.619261475
1.64617E+18,0.71694873,-0.47487552,-0.750334383,-1.454831729,1.704418905,1.355782177,0.627350523
1.64617E+18,0.726929688,-0.382772917,-0.95387718,-1.132320607,1.529230767,1.300449824,0.618499734
1.64617E+18,0.736910889,-0.076588661,-0.518681344,-0.671675857,0.852082517,1.509906637,0.934468184
1.64617E+18,0.746891602,-0.12853103,-0.210253108,-0.491115584,0.549473486,1.575784926,0.90863506
1.64617E+18,0.756872559,-0.206247307,-0.675268329,-0.442531294,0.833282193,1.812873775,0.919164716
1.64617E+18,0.76685376,-0.388199107,-2.249348368,-1.051254143,2.513046339,1.857474499,0.880559941
1.64617E+18,0.776834717,0.06359189,-1.912178022,-1.003856724,2.160601083,1.82009268,0.859621705
1.64617E+18,0.786815674,0.643845089,0.287256853,-0.674985128,0.976041967,1.834970162,0.866644879
1.64617E+18,0.796796875,0.654806555,-0.361315192,-0.071585227,0.751295373,1.962599905,0.823667372
1.64617E+18,0.806777832,1.040659318,-1.261881053,0.418577587,1.688349136,2.09993208,0.717960238
1.64617E+18,0.816758789,0.994678489,-0.568241786,-0.112856272,1.151095374,2.216716063,0.736261367
1.64617E+18,0.826739746,0.564190428,-3.551633328,-0.446663571,3.623798902,2.398739197,0.672560301
1.64617E+18,0.836720459,0.645505058,-0.969742273,-0.962100526,1.510865408,2.453726122,0.783756306
1.64617E+18,0.846701416,0.483316601,-2.603748081,-1.231021951,2.920361973,2.921466069,1.304328419
1.64617E+18,0.856682617,1.129073588,-0.544785507,-0.254917741,1.27928944,3.435866855,2.020299544
1.64617E+18,0.866663574,1.082952473,1.5513889,0.998350382,2.139228146,3.987405597,2.107247758
