time,seconds_elapsed,z,y,x,a,ave,std
1.64617E+18,0.032002197,-0.173937932,-1.527378786,0.016947335,1.537344325,1.397472328,0.290925751
1.64617E+18,0.041984131,-0.01004384,-1.493077288,-0.185912265,1.504640834,1.391456101,0.288583687
1.64617E+18,0.051965332,0.280495104,-1.484658127,-0.399842454,1.562933539,1.441838985,0.342828829
1.64617E+18,0.061947266,0.540712559,-1.580514456,-0.497565272,1.74297654,1.523697711,0.444594824
1.64617E+18,0.071928467,0.679205083,-1.516403803,-0.45113984,1.72172216,1.596767058,0.52703116
1.64617E+18,0.081910156,0.743112031,-1.321370768,-0.377120189,1.562195837,1.654499862,0.567615671
1.64617E+18,0.091891113,0.623826311,-1.141796584,-0.477599209,1.385986908,1.686334661,0.570466195
1.64617E+18,0.101873291,0.289383344,-0.881609232,-0.511040437,1.059311043,1.652898675,0.596303793
1.64617E+18,0.111854248,-0.156570033,-0.827287567,-0.122092558,0.85077934,1.588075981,0.685822096
1.64617E+18,0.121836182,-0.806547269,-0.663601272,0.070524246,1.046832754,1.646214871,0.64423746
1.64617E+18,0.131817139,-1.429596165,-0.28283173,0.241511585,1.477182057,1.756214044,0.626160677
1.64617E+18,0.141799316,-1.96317931,0.122173551,0.406141664,2.008469674,1.857850243,0.654466917
1.64617E+18,0.151780273,-2.307175119,0.464956476,0.363867799,2.381520801,1.917721633,0.691826412
1.64617E+18,0.161762451,-2.374046176,0.643312809,0.262862489,2.473670008,1.926015182,0.697807934
1.64617E+18,0.171744141,-2.128775531,0.846562468,0.193076494,2.299050196,1.904036384,0.683527565
1.64617E+18,0.181725342,-1.624430755,0.93284959,0.165715024,1.880543832,1.879359737,0.673197691
1.64617E+18,0.191707275,-0.851364316,0.616952918,-0.021617958,1.051627043,1.88310893,0.673298238
1.64617E+18,0.201688232,0.231079623,0.124610422,-0.316329876,0.411084103,1.966317203,0.614223676
1.64617E+18,0.211670166,1.312353349,-0.114496732,-0.561894171,1.432168242,2.118194001,0.335353744
1.64617E+18,0.221651123,1.989328482,-0.099688747,-0.800930525,2.146824483,2.177640051,0.250406842
